address;code;date;room;price;url;title;lon;lat
1430 Avenue de Léry, Ville de Québec, QC G1J 4X6, Canada;1264002086;5-13-2017;b-appartement-condo-4-1-2;675;http://www.kijiji.ca/v-appartement-condo-4-1-2/ville-de-quebec/4-1-2-a-louer-:-libre-immediatement-1-mois-gratuit/1264002086;4 1/2 à louer : libre immédiatement *** 1 mois Gratuit ***;-71.2158813;46.8384766
11 Rue de la Terrasse Orléans, Ville de Québec, QC G1E 2N2, Canada;1264003595;5-13-2017;b-appartement-condo-4-1-2;700;http://www.kijiji.ca/v-appartement-condo-4-1-2/ville-de-quebec/urgent-4-et-demi-beauport/1264003595;URGENT ! 4 et demi beauport !;-71.1750092;46.8700507
2986 Avenue d'Entremont, Ville de Québec, QC G1X 1K4, Canada;1264001455;5-13-2017;b-appartement-condo-4-1-2;795;http://www.kijiji.ca/v-appartement-condo-4-1-2/ville-de-quebec/ste-foy-grand-4-1-2-1er-juillet-rabais-mensuel/1264001455;Ste-Foy Grand  4 1/2 1er juillet, RABAIS MENSUEL;-71.3122105;46.7803914
Québec City, QC G1J3M8;1264004732;5-13-2017;b-appartement-condo-4-1-2;745;http://www.kijiji.ca/v-appartement-condo-4-1-2/ville-de-quebec/4-1-2-vieux-limoilou/1264004732;4 1/2 vieux limoilou;-71.2256824;46.8280513
77 Rue Saint-Vallier E, Ville de Québec, QC G1K 3N9, Canada;1264003436;5-13-2017;b-appartement-condo-3-1-2;650;http://www.kijiji.ca/v-appartement-condo-3-1-2/ville-de-quebec/centre-ville-1-mois-gratuit-3-1-2-a-louer-pour-1-juillet/1264003436;Centre ville (1 mois gratuit) 3 1/2 à louer pour 1 juillet;-71.2291849;46.8112007
Québec City, QC G1J4J2;1264000383;5-13-2017;b-appartement-condo-4-1-2;735;http://www.kijiji.ca/v-appartement-condo-4-1-2/ville-de-quebec/super-grand-4-1-2/1264000383;super grand 4 1/2;-71.2218743;46.836965
1430 Avenue de Léry, Ville de Québec, QC G1J 4X6, Canada;1263997536;5-13-2017;b-appartement-condo-4-1-2;675;http://www.kijiji.ca/v-appartement-condo-4-1-2/ville-de-quebec/4-1-2-a-louer-:-chauffage-inclue-:-libre-1er-juillet/1263997536;4 1/2 à louer : chauffage inclue : libre 1er Juillet;-71.2158813;46.8384766
Ville de Québec, QC G2C0G3, Canada;1264001109;5-13-2017;b-appartement-condo-4-1-2;1175;http://www.kijiji.ca/v-appartement-condo-4-1-2/ville-de-quebec/condo-haut-de-gamme-a-louer-libre-1er-juillet/1264001109;Condo haut de gamme à louer ! libre 1er Juillet;-71.321408;46.8382109
69 Rue Flaubert, Lévis, QC G6V 8C3, Canada;1264001646;5-13-2017;b-appartement-condo-4-1-2;750;http://www.kijiji.ca/v-2-bedroom-apartments-condos/ville-de-quebec/beau-grand-4-a-cote-canadian-tire-chiens-acceptees/1264001646?null;Beau Grand 4 ½ à Coté Canadian Tire. Chiens Acceptées.;-71.1695999;46.7877632
1481 Avenue Maufils, Ville de Québec, QC G1J 4H6, Canada;1264000277;5-13-2017;b-appartement-condo-4-1-2;695;http://www.kijiji.ca/v-2-bedroom-apartments-condos/ville-de-quebec/5-1-2-disponible-1er-juillet/1264000277?null;5-1/2 Disponible 1er JUILLET;-71.2199816;46.8359124
54 Rue des Bouleaux E, Ville de Québec, QC G1L 1T8, Canada;1264000899;5-13-2017;b-appartement-condo-4-1-2;660;http://www.kijiji.ca/v-2-bedroom-apartments-condos/ville-de-quebec/appartement-4-1-2-sur-la-rue-des-bouleaux-est/1264000899?null;appartement 4 1/2  sur la rue des bouleaux est;-71.2420171;46.8369555
3070 Ch Ste-Foy, Ville de Québec, QC G1X 1N1, Canada;1204139630;4-26-2017;b-appartement-condo-3-1-2;1300;http://www.kijiji.ca/v-appartement-condo-3-1-2/ville-de-quebec/3-appartement-neuf-style-condos-ste-foy/1204139630;3 ½ APPARTEMENT NEUF Style condos - Ste Foy;-71.3116596;46.7754845
1155 Rue de l'Amérique Française, Ville de Québec, QC G1R 3E4, Canada;1258913036;4-26-2017;b-appartement-condo-5-1-2;1140;http://www.kijiji.ca/v-appartement-condo-5-1-2/ville-de-quebec/appartement-5-1-2-colline-parlementaire-montcalm/1258913036;Appartement 5 1/2  Colline parlementaire/Montcalm;-71.2190849;46.8058673
Québec City, QC G1J2C5;1263996748;5-13-2017;b-appartement-condo-4-1-2;590;http://www.kijiji.ca/v-appartement-condo-4-1-2/ville-de-quebec/beau-4-et-demi-pour-juillet-a-limoilou/1263996748;Beau 4 et demi pour juillet à limoilou ;-71.224482;46.8338027
1195 Alphonse Robitaille, Québec G1S 0B8 QC, Canada;1148231165;4-30-2017;b-appartement-condo-4-1-2;2150;http://www.kijiji.ca/v-appartement-condo-4-1-2/ville-de-quebec/meuble-et-equipe-court-ou-long-terme/1148231165;Meublé et équipé  (court ou long terme);#N/A;#N/A
Québec City, QC G1S3W1, Canada;1263997427;5-13-2017;b-appartement-condo-4-1-2;895;http://www.kijiji.ca/v-appartement-condo-4-1-2/ville-de-quebec/charmant-5-1-2-chauffe/1263997427;-    -   CHARMANT 5 1/2 CHAUFFÉ  -    -;-71.2570019;46.7946692
4974 Rue Lionel-Groulx, Saint-Augustin-de-Desmaures, QC G3A 0M3, Canada;1263947419;5-13-2017;b-appartement-condo-5-1-2;1775;http://www.kijiji.ca/v-appartement-condo-5-1-2/ville-de-quebec/condo-haut-de-gamme-3-chambres-boises-du-seminaire-st-augustin/1263947419;CONDO HAUT DE GAMME,3 CHAMBRES, BOISÉS DU SÉMINAIRE, ST-AUGUSTIN;-71.3889392;46.7437016
2245 Boulevard Cardinal-Villeneuve, Ville de Québec, QC G1L 3H7, Canada;1263949037;5-13-2017;b-appartement-condo-4-1-2;750;http://www.kijiji.ca/v-appartement-condo-4-1-2/ville-de-quebec/limoilou-41-2-chauffe/1263949037;Limoilou 41/2 chauffe;-71.2394029;46.8336715
Québec City, QC G3J1E1;1263946433;5-13-2017;b-appartement-condo-3-1-2;1090;http://www.kijiji.ca/v-appartement-condo-3-1-2/ville-de-quebec/logement-3-1-2-a-louer-pour-gens-a-restriction-imposee/1263946433;Logement 3 1/2 à louer pour gens à restriction imposée;-71.4286291;46.8604716
2657 Rue de la Faune, Ville de Québec, QC G3E 1K3, Canada;1263948559;5-13-2017;b-appartement-condo-4-1-2;1050;http://www.kijiji.ca/v-appartement-condo-4-1-2/ville-de-quebec/beau-4-1-2-lumineux/1263948559;Beau 4 1/2 lumineux! ;-71.3436611;46.8683748
